Object1,Object2,Dissimdist,Relationship,Traffic
merckandco,elilily,0.6711243051,competitor,
schlumberger,colgate-palmolive,0.6715414726,valuechain,
ibm,schlumberger,0.6716442785,peer,
c.virtualreality,texasinstrument,0.6716638659,constituent,
gm,pfizer,0.6717388252,peer,
pepsico,berkshirehathaway,0.6718201349,competitor,
3m,amgen,0.6719059662,peer,
png,dellemc,0.6720160862,peer,
3m,lockheedmartin,0.6721234854,valuechain,
texasinstrument,elilily,0.6721457778,peer,
colgate-palmolive,texasinstrument,0.6722349009,peer,
usbancorp,visa,0.6722450451,valuechain,
ibm,southernco,0.6724474254,peer,
qualcomm,ge,0.6724664289,valuechain,
honeywell,danaher,0.6725478233,competitor,
schlumberger,southernco,0.6729390577,valuechain,
pfizer,dupont,0.6729483455,valuechain,
pfizer,colgate-palmolive,0.673334296,valuechain,
halliburton,chevron,0.6734474812,valuechain,
3m,qualcomm,0.6738171482,peer,
berkshirehathaway,elilily,0.6738657879,peer,
3m,unitedhealth,0.6740037102,peer,
colgate-palmolive,berkshirehathaway,0.674283803,peer,
cocacola,exxonmobil,0.6745020838,peer,
gm,emersonelectric,0.6746152286,valuechain,
caterpillar,dupont,0.6746532705,valuechain,
png,priceline,0.6747367034,peer,
amgen,merckandco,0.6747614009,competitor,
boeing,generaldynamics,0.6748874024,valuechain,
3m,priceline,0.6751369583,peer,
gm,southernco,0.6751479125,valuechain,
bankofnewyork,mastercard,0.6752750202,valuechain,
intel,ge,0.6753341851,valuechain,
gm,c.bailout,0.6755314811,constituent,
raytheon,unitedtech,0.6755737674,competitor,
texasinstrument,emersonelectric,0.6755927756,valuechain,
gilead,pepsico,0.6756907373,peer,
lowes,target,0.6759501817,competitor,
gm,metlife,0.6759784226,peer,
cocacola,southernco,0.6760323949,peer,
gilead,merckandco,0.6760349849,competitor,
aig,berkshirehathaway,0.6760817948,competitor,
halliburton,schlumberger,0.676497169,competitor,
apple,texasinstrument,0.6765649605,valuechain,
mondelez,exxonmobil,0.6767842382,peer,
johnsonandjohnson,merckandco,0.6773541329,peer,
walmart,ge,0.677857257,valuechain,
allergan,mondelez,0.6779928752,peer,
pfizer,mondelez,0.6780842725,peer,
abbott,texasinstrument,0.6781128935,peer,
dowchemical,elilily,0.6784746332,valuechain,
berkshirehathaway,dupont,0.6785237826,peer,
3m,jpmchase,0.6785266507,peer,
comcast,timewarner,0.6785599787,valuechain,
ups,c.selfdriving,0.6786464267,constituent,
metlife,mondelez,0.6786655906,peer,
allergan,colgate-palmolive,0.6786938041,valuechain,
goldmansachs,c.mbs,0.6788557068,constituent,
png,medtronic,0.6789146963,peer,
gilead,allergan,0.6790197412,competitor,
png,apple,0.6791475472,peer,
ibm,dellemc,0.6792740494,valuechain,
gm,johnsonandjohnson,0.6793220519,peer,
citigroup,c.mbs,0.679325205,constituent,
texasinstrument,unitedtech,0.6795102568,valuechain,
metlife,exxonmobil,0.6795237693,peer,
dowchemical,bristolmyerssquibb,0.679529605,valuechain,
citigroup,ups,0.6795789921,peer,
johnsonandjohnson,exxonmobil,0.6795917429,valuechain,
capitalone,amex,0.6797019703,valuechain,
intel,texasinstrument,0.6797484378,competitor,
tesla,fordmotor,0.6800383309,competitor,
pepsico,caterpillar,0.680100703,peer,
metlife,elilily,0.6802235579,peer,
c.bailout,c.mbs,0.6805948136,sister,
pfizer,celgene,0.680711668,competitor,
png,nike,0.6810571691,peer,
ibm,metlife,0.6810847386,peer,
texasinstrument,boeing,0.6811206494,valuechain,
schlumberger,mondelez,0.6811692889,valuechain,
jpmchase,amex,0.68117022,valuechain,
allergan,berkshirehathaway,0.6811916347,peer,
cvs,bristolmyerssquibb,0.6812721516,valuechain,
johnsonandjohnson,texasinstrument,0.6812748745,peer,
